date,channel,ad_spend,impressions,clicks,conversions,revenue,ctr,conversion_rate,cpc,cpa,roas,month
2025-01-01,Google Ads,152,4600,148,10,520.54,3.22,6.76,1.03,15.2,3.42,2025-01
2025-01-01,Meta Ads,485,7783,616,12,832.88,7.91,1.95,0.79,40.42,1.72,2025-01
2025-01-01,TikTok Ads,398,14226,625,51,4511.74,4.39,8.16,0.64,7.8,11.34,2025-01
2025-01-01,Email,320,10146,188,3,98.92,1.85,1.6,1.7,106.67,0.31,2025-01
2025-01-02,Google Ads,156,5971,362,26,1556.32,6.06,7.18,0.43,6.0,9.98,2025-01
2025-01-02,Meta Ads,121,14490,472,22,1736.83,3.26,4.66,0.26,5.5,14.35,2025-01
2025-01-02,TikTok Ads,238,18589,1483,83,5275.18,7.98,5.6,0.16,2.87,22.16,2025-01
2025-01-02,Email,70,13951,1096,100,4636.44,7.86,9.12,0.06,0.7,66.23,2025-01
2025-01-03,Google Ads,152,13312,744,67,7863.22,5.59,9.01,0.2,2.27,51.73,2025-01
2025-01-03,Meta Ads,171,2990,57,4,510.31,1.91,7.02,3.0,42.75,2.98,2025-01
2025-01-03,TikTok Ads,264,6299,365,20,1217.95,5.79,5.48,0.72,13.2,4.61,2025-01
2025-01-03,Email,380,13997,231,17,2089.82,1.65,7.36,1.65,22.35,5.5,2025-01
2025-01-04,Google Ads,137,14472,174,9,686.4,1.2,5.17,0.79,15.22,5.01,2025-01
2025-01-04,Meta Ads,422,5380,363,32,2905.67,6.75,8.82,1.16,13.19,6.89,2025-01
2025-01-04,TikTok Ads,149,5757,142,6,796.32,2.47,4.23,1.05,24.83,5.34,2025-01
2025-01-04,Email,409,11395,416,40,4799.78,3.65,9.62,0.98,10.22,11.74,2025-01
2025-01-05,Google Ads,201,17241,1347,126,15953.37,7.81,9.35,0.15,1.6,79.37,2025-01
2025-01-05,Meta Ads,180,6588,221,16,742.74,3.35,7.24,0.81,11.25,4.13,2025-01
2025-01-05,TikTok Ads,199,18350,564,19,728.96,3.07,3.37,0.35,10.47,3.66,2025-01
2025-01-05,Email,358,5944,441,9,1234.88,7.42,2.04,0.81,39.78,3.45,2025-01
2025-01-06,Google Ads,307,14395,255,22,1683.88,1.77,8.63,1.2,13.95,5.48,2025-01
2025-01-06,Meta Ads,393,18072,1141,28,1807.28,6.31,2.45,0.34,14.04,4.6,2025-01
